SBID,CRVAL1,CRVAL2,label_0_count_filtered_int,label_1_count_filtered_int,label_2_count_filtered_int,label_3_count_filtered_int,label_0_count_filtered_res,label_1_count_filtered_res,label_2_count_filtered_res,label_3_count_filtered_res,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb,,name,sb,ra_min_hms,ra_max_hms,dec_min_dms,dec_max_dms,ra_min_deg,ra_max_deg,dec_min_deg,dec_max_deg,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb
20258,38.07692083,41.87635833,73,188,1249,157,181,143,595,205,processed_wcs_20258.csv,300,85,868,139,,image.i.RACS_0232+41.SB20258.cont.taylor.0.restored.conv.fits,SB20258,12:13.6,52:57.1,+38:41:21.703,+44:41:49.560,33.05683538,43.23771201,38.6893619,44.69709996,processed_wcs_20258.csv,300,85,868,139
20259,45,41.87635833,73,252,1266,171,193,168,510,211,processed_wcs_20259.csv,321,84,920,152,,image.i.RACS_0259+41.SB20259.cont.taylor.0.restored.conv.fits,SB20259,39:55.8,20:37.5,+38:41:22.361,+44:41:47.913,39.98230799,50.15605163,38.68954474,44.69664238,processed_wcs_20259.csv,321,84,920,152
20260,51.923075,41.87635833,91,260,1196,131,200,158,489,202,processed_wcs_20260.csv,321,129,909,124,,image.i.RACS_0327+41.SB20260.cont.taylor.0.restored.conv.fits,SB20260,07:36.9,48:16.8,+38:41:25.676,+44:41:49.677,46.90377128,57.06979617,38.69046558,44.69713252,processed_wcs_20260.csv,321,129,909,124
20261,58.84615,41.87635833,95,404,1367,181,259,236,599,202,processed_wcs_20261.csv,452,213,1135,148,,image.i.RACS_0355+41.SB20261.cont.taylor.0.restored.conv.fits,SB20261,35:18.9,15:59.2,+38:41:23.128,+44:41:39.917,53.82865092,63.996532,38.68975786,44.69442148,processed_wcs_20261.csv,452,213,1135,148
20262,65.76922917,41.87635833,94,421,1113,198,253,194,494,215,processed_wcs_20262.csv,354,217,979,143,,image.i.RACS_0423+41.SB20262.cont.taylor.0.restored.conv.fits,SB20262,03:00.1,43:39.0,+38:41:26.114,+44:41:31.688,60.75035966,70.91237876,38.69058716,44.6921355,processed_wcs_20262.csv,354,217,979,143
20263,72.69230417,41.87635833,102,438,1236,157,295,223,596,206,processed_wcs_20263.csv,349,239,1151,122,,image.i.RACS_0450+41.SB20263.cont.taylor.0.restored.conv.fits,SB20263,30:42.8,11:22.5,+38:41:16.908,+44:41:20.398,67.6784138,77.84375437,38.68803008,44.68899936,processed_wcs_20263.csv,349,239,1151,122
20265,190.3846125,41.87635833,105,463,1418,189,301,224,620,239,processed_wcs_20265.csv,483,183,1024,145,,image.i.RACS_1241+41.SB20265.cont.taylor.0.restored.conv.fits,SB20265,21:27.7,02:10.9,+38:41:23.703,+44:41:51.676,185.3652605,195.5454533,38.68991753,44.69768774,processed_wcs_20265.csv,483,183,1024,145
20266,189.8181792,37.24593611,292,1883,795,305,608,1203,253,327,processed_wcs_20266.csv,755,1062,709,209,,image.i.RACS_1239+37.SB20266.cont.taylor.0.restored.conv.fits,SB20266,20:37.9,58:27.8,+34:04:26.457,+40:04:59.770,185.1579351,194.6157561,34.07401577,40.08326936,processed_wcs_20266.csv,755,1062,709,209
20267,196.3636333,37.24593611,218,1861,800,315,548,1163,265,318,processed_wcs_20267.csv,648,989,730,226,,image.i.RACS_1305+37.SB20267.cont.taylor.0.restored.conv.fits,SB20267,46:48.3,24:38.2,+34:04:24.737,+40:04:59.474,191.7012093,201.1590304,34.07353812,40.08318712,processed_wcs_20267.csv,648,989,730,226
20268,202.9090875,37.24593611,179,1943,765,284,534,1132,238,317,processed_wcs_20268.csv,641,1031,691,214,,image.i.RACS_1331+37.SB20268.cont.taylor.0.restored.conv.fits,SB20268,12:59.4,50:49.1,+34:04:24.737,+40:04:55.573,198.2474664,207.7044062,34.07353812,40.08210351,processed_wcs_20268.csv,641,1031,691,214
