SBID,label_0_count,label_1_count,label_2_count,label_3_count
21768.csv,762,3594,221,371
21892.csv,562,5266,90,655
21971.csv,622,5007,89,551
21877.csv,751,4072,288,467
21906.csv,666,5008,131,552
24633.csv,188,4199,82,551
41469.csv,311,4259,222,707
20152.csv,194,573,2646,212
20299.csv,571,2421,1018,501
20438.csv,298,4188,232,585
20610.csv,224,1704,1919,460
20667.csv,277,4535,45,601
20682.csv,365,3910,151,612
20716.csv,350,3418,879,639
20761.csv,381,4454,34,623
20784.csv,629,3503,343,572
20809.csv,304,4647,50,652
21064.csv,805,3980,323,417
21408.csv,621,4771,116,518
21620.csv,553,4174,60,449
21657.csv,779,4207,137,428
21751.csv,798,4658,203,412
21948.csv,704,4875,125,452
22883.csv,645,1317,1471,287
22457.csv,504,5047,74,629
21839.csv,758,4502,162,463
23099.csv,600,4134,112,469
25480.csv,323,188,2686,120
22526.csv,266,4429,155,898
23821.csv,291,5605,70,619
25465.csv,234,147,2548,127
29571.csv,634,4477,126,465
33588.csv,182,891,2548,317
20268.csv,271,3197,988,555
20319.csv,704,4635,136,531
20604.csv,270,4501,51,701
20673.csv,234,4149,158,582
20696.csv,341,4521,46,585
20702.csv,438,4442,68,539
20775.csv,442,3901,80,431
20790.csv,231,4149,91,611
21070.csv,714,3783,247,421
21095.csv,597,4481,104,541
21101.csv,538,4480,118,448
21176.csv,240,4504,47,485
21588.csv,416,4859,31,549
21634.csv,612,3966,124,426
21643.csv,775,4260,152,461
21732.csv,814,4607,219,498
21745.csv,722,4546,143,446
22058.csv,686,4720,107,479
25471.csv,337,195,2836,121
25494.csv,291,170,2624,139
25500.csv,304,151,2651,144
29580.csv,1031,3925,414,436
33115.csv,422,5188,37,586
40934.csv,866,4061,221,383
20226.csv,387,4767,63,572
20320.csv,610,4338,105,518
20415.csv,591,4787,124,490
20462.csv,697,4319,213,437
20487.csv,391,1615,1792,338
20581.csv,657,4390,85,506
20513.csv,432,4957,71,530
20564.csv,497,5153,83,605
20824.csv,263,4113,49,636
20853.csv,395,4873,99,590
20922.csv,719,4398,217,495
20955.csv,517,5238,77,539
21049.csv,736,4395,246,419
21382.csv,786,4211,270,365
21425.csv,676,4315,243,496
21452.csv,725,4592,146,506
21554.csv,758,4175,207,401
21814.csv,664,5280,152,581
21863.csv,665,4721,150,541
21980.csv,489,4088,55,459
21965.csv,702,4968,166,531
21886.csv,417,5491,47,639
22061.csv,569,4577,119,501
mis29340.csv,585,3615,150,468
21912.csv,607,5308,105,473
22338.csv,508,4480,81,403
20170.csv,269,2053,1767,465
20488.csv,327,1463,1609,330
20632.csv,361,4680,48,661
20645.csv,220,1169,2187,394
20734.csv,220,3963,151,511
21046.csv,925,4219,320,414
21675.csv,708,4634,145,442
21690.csv,576,4172,122,389
21704.csv,878,3403,294,321
21889.csv,558,4955,91,579
22340.csv,371,4472,90,554
22337.csv,345,4668,150,478
22475.csv,708,4425,120,518
24628.csv,481,4299,76,483
20149.csv,524,4725,92,569
20210.csv,217,1813,2090,424
20267.csv,331,3057,995,612
20316.csv,594,4490,113,488
20361.csv,431,4657,64,584
20423.csv,641,4556,95,518
20454.csv,711,4507,145,386
20525.csv,292,4037,93,619
20699.csv,466,4418,47,580
20812.csv,389,4309,46,575
20914.csv,663,4776,133,446
20963.csv,622,4942,93,545
21179.csv,327,4018,42,563
21481.csv,607,4325,133,422
21562.csv,622,4438,144,501
21587.csv,476,4557,87,512
21855.csv,623,4925,141,500
21822.csv,453,4896,72,593
21953.csv,706,4407,110,434
21924.csv,572,5172,94,571
22057.csv,656,5053,94,558
22151.csv,759,4087,247,533
23184.csv,940,3500,254,327
20459.csv,656,4193,182,373
