SBID,label_0_count,label_1_count,label_2_count,label_3_count
21380.csv,723,3784,245,344
21427.csv,627,4404,181,519
21450.csv,677,3837,217,354
21556.csv,689,3967,206,406
21678.csv,563,4032,73,405
21709.csv,644,3699,143,372
21816.csv,326,4392,76,740
21861.csv,470,4455,115,452
21884.csv,582,5272,113,632
21910.csv,662,4208,112,457
21982.csv,510,3885,195,367
22063.csv,610,4122,125,447
21967.csv,689,4552,118,387
22478.csv,362,3430,220,887
20172.csv,182,223,2120,535
20418.csv,580,4354,96,433
20569.csv,576,4014,75,368
20630.csv,290,4380,36,635
20647.csv,540,1070,1041,566
20736.csv,455,4363,125,543
20829.csv,315,4265,76,558
20958.csv,493,4500,88,466
21428.csv,664,4281,144,449
21559.csv,799,4485,178,454
21600.csv,553,4269,102,462
21677.csv,632,3914,117,458
21692.csv,316,4044,48,441
21706.csv,704,3711,150,339
21819.csv,328,4219,52,645
21968.csv,631,4121,118,380
22342.csv,258,3145,237,596
22335.csv,551,4436,65,504
22477.csv,279,4032,109,729
33121.csv,722,4198,239,423
25445.csv,208,153,1953,378
20212.csv,403,986,1085,606
20265.csv,442,939,1265,683
20280.csv,533,865,954,508
20314.csv,551,3987,59,478
20363.csv,643,4467,99,550
20386.csv,688,3023,215,657
20421.csv,542,4022,121,471
20456.csv,583,4408,177,367
20778.csv,692,2716,260,657
20810.csv,282,3921,44,594
20916.csv,699,4540,128,481
20961.csv,681,4413,134,461
21098.csv,540,4216,103,457
21411.csv,358,4100,52,603
21466.csv,586,3899,201,407
21483.csv,605,4191,248,406
21560.csv,639,4028,130,449
21639.csv,383,4366,52,564
21748.csv,634,4282,165,415
21820.csv,397,4212,119,780
21857.csv,610,4735,100,448
21926.csv,523,3932,146,455
22022.csv,421,4804,59,596
22055.csv,555,4490,108,508
21951.csv,723,4295,106,449
22153.csv,626,3850,182,414
22666.csv,175,320,1554,649
25499.csv,195,149,1996,374
33330.csv,653,4181,221,420
22683.csv,757,3566,258,356
33405.csv,430,5150,62,602
33591.csv,242,446,1623,440
20399.csv,507,4817,50,422
20449.csv,644,4204,136,432
20616.csv,655,2046,452,759
20661.csv,293,4126,60,633
20684.csv,704,2848,247,516
20710.csv,365,4202,56,624
20767.csv,464,4218,123,524
20782.csv,696,2962,297,560
20909.csv,656,4739,147,467
21062.csv,581,3529,185,359
21087.csv,395,4710,44,712
21181.csv,344,4322,80,589
21479.csv,542,4299,160,401
21508.csv,617,4372,170,495
21626.csv,311,4073,28,542
21651.csv,646,3757,218,324
21757.csv,691,4383,114,423
21848.csv,659,4208,104,425
23827.csv,638,4149,120,429
22451.csv,445,4607,108,674
22679.csv,206,298,1468,669
22885.csv,195,285,1814,416
22520.csv,464,4801,71,572
25486.csv,17,2,11,116
29577.csv,699,4103,188,363
23921.csv,686,4431,146,517
21939.csv,348,4687,45,677
41212.csv,649,3965,160,424
29344.csv,687,3960,176,427
40926.csv,643,3870,99,406
20332.csv,696,3949,117,448
20407.csv,618,4160,99,515
20470.csv,581,3717,209,307
20495.csv,369,3555,108,603
20501.csv,251,3607,49,601
20576.csv,583,4509,95,428
20593.csv,536,848,1316,469
20658.csv,530,3053,141,694
20729.csv,318,4210,66,684
20836.csv,505,4067,150,386
20947.csv,287,4729,64,561
21375.csv,642,4421,136,474
21437.csv,539,3436,396,434
21440.csv,630,3961,98,340
21546.csv,726,3699,271,399
21668.csv,626,4087,97,430
21806.csv,718,4023,241,349
21871.csv,388,4441,85,476
21894.csv,521,5154,91,623
21900.csv,660,4238,136,356
21992.csv,628,3392,254,361
21977.csv,507,3651,168,366
23869.csv,643,4146,134,398
25703.csv,209,269,1799,402
22468.csv,283,3116,161,891
33423.csv,681,3745,255,318
20408.csv,647,4321,98,542
20579.csv,603,4585,114,441
20620.csv,627,2960,164,676
20657.csv,715,2067,408,561
20726.csv,282,3857,87,671
20751.csv,292,3443,46,500
20839.csv,308,3775,56,654
21054.csv,619,3859,203,392
21152.csv,625,4143,152,389
21299.csv,574,4034,57,491
21438.csv,564,3513,208,338
21549.csv,654,3943,204,381
21610.csv,621,3979,124,418
21682.csv,573,3958,106,469
21761.csv,82,2491,30,624
21809.csv,601,4301,151,433
22325.csv,494,4592,78,481
21978.csv,573,3498,128,313
22467.csv,360,4306,42,575
22821.csv,233,377,1768,357
23866.csv,662,4448,140,436
22482.csv,251,2504,197,402
40982.csv,654,3945,170,352
41511.csv,731,4180,164,420
20275.csv,614,4376,111,513
20290.csv,758,2229,542,575
20304.csv,801,2254,664,635
20373.csv,500,1595,521,627
20396.csv,381,4539,63,547
20431.csv,589,4550,115,432
20446.csv,600,3622,132,401
20537.csv,355,3079,121,603
20540.csv,846,2253,413,623
20619.csv,635,3165,136,618
20768.csv,400,4094,89,406
20800.csv,320,3585,123,452
20906.csv,739,4526,96,498
20971.csv,656,4656,111,476
21088.csv,578,4349,88,389
21401.csv,281,4190,37,493
21476.csv,668,3939,231,368
21493.csv,634,4400,137,359
21507.csv,672,4135,131,454
21595.csv,620,4474,92,411
21629.csv,352,3910,76,574
21758.csv,689,4415,83,449
21830.csv,736,4120,117,411
21847.csv,668,4622,134,439
22032.csv,574,4536,60,500
21941.csv,437,3443,294,763
23104.csv,625,3297,147,345
22045.csv,560,4192,141,480
23173.csv,485,3685,89,424
21936.csv,714,4532,109,391
29578.csv,534,4003,168,354
40929.csv,670,3720,130,441
22818.csv,689,1147,767,534
23828.csv,696,3143,133,346
24691.csv,306,4193,64,689
20614.csv,552,1758,356,501
20663.csv,392,3458,91,513
20686.csv,313,3399,80,528
20712.csv,15,1532,28,286
20765.csv,452,4370,118,476
20780.csv,487,3618,110,585
21060.csv,588,3538,177,398
21085.csv,369,4349,59,635
21111.csv,351,4146,72,569
21598.csv,650,4572,97,464
21624.csv,265,4274,26,559
21653.csv,388,3265,221,272
21755.csv,748,4241,163,453
22048.csv,494,4328,70,430
25461.csv,196,134,2186,458
23825.csv,682,3949,101,421
33105.csv,839,4076,123,350
22522.csv,491,4790,100,652
22453.csv,497,4464,84,463
29575.csv,527,4054,103,415
20330.csv,643,3884,87,371
20405.csv,601,4086,100,495
20472.csv,470,3830,204,425
20497.csv,299,3794,36,581
20503.csv,247,3863,61,638
20574.csv,474,4595,107,413
20834.csv,422,4198,52,516
20843.csv,296,3845,72,552
20945.csv,678,3485,204,294
21059.csv,675,3610,225,317
21294.csv,449,3903,96,451
21300.csv,631,4014,94,460
21377.csv,645,4204,162,487
21392.csv,502,3823,186,425
21435.csv,389,4012,159,409
21442.csv,674,3660,210,348
21533.csv,726,4248,163,432
21873.csv,598,3567,212,343
21896.csv,529,4785,112,602
21902.csv,597,4375,96,429
21990.csv,469,3315,169,296
22328.csv,505,4588,87,498
22635.csv,305,3401,269,918
33363.csv,530,4158,140,386
25458.csv,244,177,1727,558
21975.csv,612,3368,249,347
37898.csv,423,4362,65,532
20160.csv,179,295,1899,386
20498.csv,345,3802,21,602
20622.csv,458,3085,97,599
20655.csv,856,2169,512,466
20724.csv,586,2906,197,565
20753.csv,307,3872,54,572
21056.csv,684,3669,216,409
21150.csv,722,4194,144,433
21378.csv,596,4527,155,450
21665.csv,584,3717,124,388
21680.csv,614,4109,74,464
21899.csv,689,4222,150,394
22327.csv,695,4158,94,426
22178.csv,331,3634,301,529
22350.csv,368,3795,294,546
22465.csv,463,4006,126,533
22480.csv,520,3398,131,318
22563.csv,752,3642,161,353
23864.csv,491,4460,234,504
40980.csv,578,3961,181,364
37897.csv,264,4040,49,491
20277.csv,672,4174,98,437
20292.csv,686,1897,744,561
20306.csv,786,2083,706,589
20371.csv,451,907,1151,613
20394.csv,329,4311,69,522
20433.csv,439,3630,115,622
20444.csv,572,3778,71,399
