FITS File,SBID,CRVAL1,CRVAL2
image.i.RACS_1300-28.SB21565.cont.taylor.0.restored.conv.fits,21565,195.0,-27.9695
image.i.RACS_1315+09.SB20736.cont.taylor.0.restored.conv.fits,20736,198.8059666667,9.342486111111
image.i.RACS_1315-04.SB20862.cont.taylor.0.restored.conv.fits,20862,198.8059666667,-4.676341666667
image.i.RACS_1316-14.SB21428.cont.taylor.0.restored.conv.fits,21428,199.0909083333,-14.00890555556
image.i.RACS_1412+28.SB20531.cont.taylor.0.restored.conv.fits,20531,213.0,27.96694555556
image.i.RACS_1432+41.SB20170.cont.taylor.0.restored.conv.fits,20170,218.0769208333,41.87635833333
image.i.RACS_1424+37.SB20305.cont.taylor.0.restored.conv.fits,20305,216.0,37.24593611111
image.i.RACS_1451-23.SB23867.cont.taylor.0.restored.conv.fits,23867,222.8571416667,-23.32096388889
image.i.RACS_1502+00.SB29339.cont.taylor.0.restored.conv.fits,29339,225.6716416667,0.0
image.i.RACS_1502-09.SB23175.cont.taylor.0.restored.conv.fits,23175,225.6716416667,-9.34505
image.i.RACS_1514+46.SB25872.cont.taylor.0.restored.conv.fits,25872,228.75,46.50041027778
image.i.RACS_1524+04.SB21984.cont.taylor.0.restored.conv.fits,21984,231.044775,4.673775
image.i.RACS_1542+37.SB20535.cont.taylor.0.restored.conv.fits,20535,235.6363625,37.24593611111
image.i.RACS_1548+28.SB20666.cont.taylor.0.restored.conv.fits,20666,237.0,27.96694555556
image.i.RACS_1549+14.SB21616.cont.taylor.0.restored.conv.fits,21616,237.272725,14.00634444444
image.i.RACS_1555+41.SB20173.cont.taylor.0.restored.conv.fits,20173,238.84615,41.87635833333
image.i.RACS_1559+23.SB20810.cont.taylor.0.restored.conv.fits,20810,240.0,23.31840694444
image.i.RACS_1608-37.SB22064.cont.taylor.0.restored.conv.fits,22064,242.1818166667,-37.24848888889
image.i.RACS_1612-28.SB21689.cont.taylor.0.restored.conv.fits,21689,243.0,-27.9695
image.i.RACS_1618-18.SB23826.cont.taylor.0.restored.conv.fits,23826,244.6875,-18.66772027778
image.i.RACS_1628+04.SB40933.cont.taylor.0.restored.conv.fits,40933,247.164175,4.673775
image.i.RACS_1634+37.SB20482.cont.taylor.0.restored.conv.fits,20482,248.7272708333,37.24593611111
image.i.RACS_1650+09.SB21866.cont.taylor.0.restored.conv.fits,21866,252.5373125,9.342486111111
image.i.RACS_1650+04.SB21929.cont.taylor.0.restored.conv.fits,21929,252.5373125,4.673775
image.i.RACS_1650+09.SB21928.cont.taylor.0.restored.conv.fits,21928,252.5373125,9.342486111111
image.i.RACS_1710-51.SB20312.cont.taylor.0.restored.conv.fits,20312,257.7272708333,-51.11844333333
image.i.RACS_1711-04.SB22149.cont.taylor.0.restored.conv.fits,22149,257.9104458333,-4.676341666667
image.i.RACS_1714+46.SB25703.cont.taylor.0.restored.conv.fits,25703,258.75,46.50041027778
image.i.RACS_1744+46.SB25704.cont.taylor.0.restored.conv.fits,25704,266.25,46.50041027778
image.i.RACS_1748-64.SB20395.cont.taylor.0.restored.conv.fits,20395,267.0967708333,-64.90365555556
image.i.RACS_1753-37.SB21299.cont.taylor.0.restored.conv.fits,21299,268.3636333333,-37.24848888889
image.i.RACS_1754+00.SB21993.cont.taylor.0.restored.conv.fits,21993,268.6567125,0.0
image.i.RACS_1754-23.SB21437.cont.taylor.0.restored.conv.fits,21437,268.571425,-23.32096388889
image.i.RACS_1800-32.SB20443.cont.taylor.0.restored.conv.fits,20443,270.0,-32.61161944444
image.i.RACS_1833+18.SB21691.cont.taylor.0.restored.conv.fits,21691,278.4375,18.66515833333
image.i.RACS_1837+00.SB21996.cont.taylor.0.restored.conv.fits,21996,279.4029833333,0.0
image.i.RACS_1845+37.SB20677.cont.taylor.0.restored.conv.fits,20677,281.4545416667,37.24593611111
image.i.RACS_1902-23.SB21440.cont.taylor.0.restored.conv.fits,21440,285.7142833333,-23.32096388889
image.i.RACS_1920+09.SB21767.cont.taylor.0.restored.conv.fits,21767,290.14925,9.342486111111
image.i.RACS_1942+00.SB21877.cont.taylor.0.restored.conv.fits,21877,295.5223875,0.0
image.i.RACS_1948-28.SB20406.cont.taylor.0.restored.conv.fits,20406,297.0,-27.9695
image.i.RACS_2004+32.SB20681.cont.taylor.0.restored.conv.fits,20681,301.0344791667,32.60906666667
image.i.RACS_2004+41.SB20490.cont.taylor.0.restored.conv.fits,20490,301.1538458333,41.87635833333
image.i.RACS_2034-60.SB20947.cont.taylor.0.restored.conv.fits,20947,308.571425,-60.32171388889
image.i.RACS_2046-09.SB20451.cont.taylor.0.restored.conv.fits,20451,311.6417875,-9.34505
image.i.RACS_2053-32.SB21373.cont.taylor.0.restored.conv.fits,21373,313.448275,-32.61161944444
image.i.RACS_2111+18.SB20828.cont.taylor.0.restored.conv.fits,20828,317.8125,18.66515833333
image.i.RACS_2054-14.SB21376.cont.taylor.0.restored.conv.fits,21376,313.6363625,-14.00890555556
image.i.RACS_2111-18.SB21808.cont.taylor.0.restored.conv.fits,21808,317.8125,-18.66772027778
image.i.RACS_2119+23.SB20753.cont.taylor.0.restored.conv.fits,20753,320.0,23.31840694444
