File Name,Subdirectory,Proportion
crossmatch-result-20616.txt,"20616,",87.48
crossmatch-result-20906.txt,"20906,",94.68
crossmatch-result-29577.txt,"29577,",94.54
crossmatch-result-29578.txt,"29578,",94.1
crossmatch-result-20768.txt,"20768,",94.61
crossmatch-result-21597.txt,"21597,",95.1
crossmatch-result-21059.txt,"21059,",94.72
crossmatch-result-21060.txt,"21060,",93.6
crossmatch-result-21476.txt,"21476,",94.61
crossmatch-result-22045.txt,"22045,",95.69
crossmatch-result-20726.txt,"20726,",92.78
crossmatch-result-20658.txt,"20658,",90.56
crossmatch-result-22674.txt,"22674,",84.91
crossmatch-result-21493.txt,"21493,",93.75
crossmatch-result-20802.txt,"20802,",94.17
crossmatch-result-21761.txt,"21761,",83.5
crossmatch-result-23173.txt,"23173,",94.0
crossmatch-result-40929.txt,"40929,",95.51
crossmatch-result-21438.txt,"21438,",93.37
crossmatch-result-25486.txt,"25486,",81.69
crossmatch-result-21936.txt,"21936,",94.68
crossmatch-result-20277.txt,"20277,",94.08
crossmatch-result-21087.txt,"21087,",95.55
crossmatch-result-37898.txt,"37898,",94.83
crossmatch-result-21377.txt,"21377,",93.67
crossmatch-result-21150.txt,"21150,",93.55
crossmatch-result-20765.txt,"20765,",95.51
crossmatch-result-20373.txt,"20373,",85.62
crossmatch-result-20501.txt,"20501,",94.78
crossmatch-result-21392.txt,"21392,",93.49
crossmatch-result-20160.txt,"20160,",86.58
crossmatch-result-20710.txt,"20710,",94.66
crossmatch-result-21056.txt,"21056,",94.79
crossmatch-result-20576.txt,"20576,",94.34
crossmatch-result-21651.txt,"21651,",91.9
crossmatch-result-22453.txt,"22453,",93.15
crossmatch-result-20579.txt,"20579,",93.13
crossmatch-result-21403.txt,"21403,",95.54
crossmatch-result-21062.txt,"21062,",94.77
crossmatch-result-21610.txt,"21610,",94.77
crossmatch-result-21847.txt,"21847,",93.86
crossmatch-result-20729.txt,"20729,",92.99
crossmatch-result-22679.txt,"22679,",85.27
crossmatch-result-21758.txt,"21758,",94.99
crossmatch-result-22350.txt,"22350,",94.07
crossmatch-result-23921.txt,"23921,",93.73
crossmatch-result-23869.txt,"23869,",92.06
crossmatch-result-23827.txt,"23827,",94.86
crossmatch-result-20394.txt,"20394,",94.5
crossmatch-result-21300.txt,"21300,",94.63
crossmatch-result-21626.txt,"21626,",96.5
crossmatch-result-37723.txt,"37723,",95.42
crossmatch-result-37897.txt,"37897,",96.23
crossmatch-result-20614.txt,"20614,",87.4
crossmatch-result-20904.txt,"20904,",94.29
crossmatch-result-20371.txt,"20371,",82.34
crossmatch-result-20622.txt,"20622,",91.2
crossmatch-result-20332.txt,"20332,",93.84
crossmatch-result-20767.txt,"20767,",95.89
crossmatch-result-21896.txt,"21896,",94.73
crossmatch-result-21111.txt,"21111,",94.48
crossmatch-result-21653.txt,"21653,",92.36
crossmatch-result-21474.txt,"21474,",94.08
crossmatch-result-22520.txt,"22520,",85.52
crossmatch-result-21549.txt,"21549,",92.32
crossmatch-result-21757.txt,"21757,",94.6
crossmatch-result-20800.txt,"20800,",89.13
crossmatch-result-20661.txt,"20661,",95.26
crossmatch-result-23864.txt,"23864,",84.49
crossmatch-result-40982.txt,"40982,",94.67
crossmatch-result-23825.txt,"23825,",94.88
crossmatch-result-21505.txt,"21505,",93.87
crossmatch-result-21990.txt,"21990,",87.95
crossmatch-result-21507.txt,"21507,",93.38
crossmatch-result-21992.txt,"21992,",91.47
