Subdirectory,Proportion_interniamge,Proportion_resnet
20818,97.84,93.49
20819,96.35,90.16
20820,97.66,94.28
20821,97.1,93.39
20822,97.48,93.69
20823,96.74,93.69
20824,96.28,93.64
20825,97.68,94.33
20826,98.16,95.04
20827,98.38,95.67
20828,98.31,95.77
20829,97.03,94.29
20830,97.7,95.43
20831,98.39,96.51
20832,95.03,92.62
20833,97.12,94.39
20834,98.49,96.58
20835,97.81,95.1
20836,98.46,95.55
20837,98.66,96.18
20839,96.87,93.22
20840,97.73,93.55
20843,97.66,93.01
20844,97.25,93.68
20845,96.99,93.74
20846,98.35,95.53
20847,97.54,94.89
20848,97.9,95.35
20849,98.29,95.7
20850,97.58,95.03
20851,97.23,94.57
20852,98,95.69
20853,97.26,94.22
20854,97.11,94.72
20855,97.15,94.65
20856,97.27,94.58
20857,96.9,94.02
20858,98.38,94.83
20859,97.83,94.92
20860,97.76,94.6
20861,96.32,93.26
20862,98.12,94.74
20894,97.51,95.57
20896,97.63,95.52
20897,97.99,95.91
20898,98.16,95.84
20899,98.5,96.18
20900,98.57,95.8
20901,97.92,94.8
20902,98.1,94.78
20903,97.84,94.05
20904,97.68,94.29
20905,96.86,93.06
20906,97.73,94.68
20907,97.84,94.74
20908,98.44,94.95
20909,97.75,94.34
20910,97.6,93.84
20911,98.31,94.8
20912,98.42,94.99
20913,97.98,94.36
20914,97.57,93.81
20915,96.97,93.28
20916,97.11,93.44
20917,97.65,93.7
20918,97.83,94
20919,97.75,94.24
20920,97.73,93.62
20921,98.02,94.57
20922,96.77,93.69
20945,98.27,94.75
20947,96.68,93.73
20952,97.32,94.53
20954,98.31,96.08
20955,96.88,94.25
20956,97.16,94.33
20957,97.08,93.86
20958,97.37,94.62
20959,96.9,92.69
20960,96.95,92.78
20961,97.77,94.54
20962,98.07,94.69
20963,97.77,94.49
20964,97.75,93.99
20965,97.96,95.39
20966,98.45,95.12
20967,97.98,94.41
20968,98.48,94.73
20970,97.84,94.06
20971,98.18,94.29
21038,97.23,93.99
21039,98.67,94.76
21040,98.38,95.36
21041,97.76,94.02
21042,97.24,93.55
21043,98.13,93.96
21045,98.11,94.79
21046,97.68,93.94
21047,97.57,94.03
21048,97.09,93.55
21049,97.34,93.04
21050,97.96,94.39
21051,98.06,94.24
21052,98.29,94
21053,97.96,94.33
21054,98.47,94.76
21055,98.03,94.27
21056,97.98,94.79
21057,91.56,84.96
21058,87.54,82.26
21059,98.2,94.72
21060,97.28,93.6
21061,97.44,93.48
21062,98.4,94.77
21063,96.33,92.65
21064,96.21,91.75
21065,98.25,94.75
21066,98.49,95.61
21067,98.57,95.25
21068,98.11,94.22
21069,98.08,94.72
21070,97.76,93.98
21071,97.54,93.92
21072,98.44,94.99
21073,97.52,93.49
21074,96.7,93.06
21075,98.21,94.02
21076,98.42,95.29
21077,98.67,95.11
21078,96.22,92.72
21079,96.64,92.82
21080,98.25,94.96
21083,96.94,94.73
21084,97.69,95.14
21085,97.7,95.51
21086,97.9,93.9
21087,98.08,95.55
21088,98.35,95.95
21089,98.16,95.47
21090,98.24,94.99
21091,98.5,94.99
21092,98.27,95.2
21093,97.98,94.48
21094,98.28,95.15
21095,98.26,95.42
21096,97.01,94.16
21097,97.9,94.56
21098,98.38,95.32
21099,98.43,95.34
21100,98.54,95.07
21101,97.95,94.88
21102,97.89,94.73
21103,98.58,95.22
21104,97.17,92.78
21105,97.23,93.73
21106,97.92,94.67
21107,98.39,95.34
21108,98.22,93.83
21109,97.98,93.79
21110,97.91,94
21111,97.38,94.48
21112,97.71,95.13
21134,97.82,94.99
21143,98.86,96.44
21144,97.71,95.07
21145,98.02,95.42
21146,97.37,93.88
21147,98.5,94.96
21148,98.83,95.27
21149,97.75,93.96
21150,97.39,93.55
21151,97.53,93.68
21152,98.2,94.65
21153,97.88,93.98
21154,98.27,95.36
21155,97.43,93.87
21156,97.64,93.81
21171,96.85,94.48
21173,98.42,95.57
21174,97.46,94.18
21175,98.34,95.55
21176,98.15,95.82
21177,97.92,95.54
21178,98.18,95.93
21179,98.18,95.48
21180,97.97,95.07
21181,97.89,94.83
21182,97.22,94.83
21197,98.54,95.61
21199,97.77,95.48
21200,97.75,96
21292,98.31,96.61
21293,97.2,95.16
21294,97.14,94.69
21298,98.49,95.65
21299,97.96,94.17
21300,98.14,94.63
21301,94.44,88.76
21311,97.08,95.18
21312,96.93,94.56
21330,97.24,93.01
21331,97.69,93.09
21332,97.91,94.17
21333,97.66,94.35
21372,98.52,95.61
21373,97.62,94.2
21374,98.39,95.57
21375,97.8,94.33
21376,97.95,94.4
21377,97.54,93.67
21378,97.52,93.46
21379,98.81,94.61
21380,98.63,95.47
21381,96.41,92.44
21382,97.76,93.93
21383,95.8,92.47
21384,96.47,92.78
21385,97.48,93.18
21387,98.02,94.18
21388,97.46,93.6
21389,98.33,94.76
21391,98.18,94.06
21392,96.57,93.49
21393,95.35,91.93
21394,94.07,90.8
21395,97.35,94.22
21396,97.25,93.56
21397,98.11,95.4
21398,97.34,93.64
21399,96.11,93.74
21400,95.74,93.32
21401,96.86,94.24
21402,97.53,95.33
21403,98.03,95.54
21404,97.94,95.3
21405,98.44,94.74
21406,97.59,94.89
21407,97.56,94.89
21408,96.77,93.48
21409,98.44,95.35
21410,97.37,94.03
21411,97.37,94.79
21412,97.23,94.46
21418,97.91,94.27
21419,97.52,94.06
21420,97.96,95.04
21421,98.24,95.26
21422,98,94.91
21423,98.62,96.27
21424,98.88,95.47
21425,97.54,93.61
21426,98.61,94.58
21427,98.08,93.15
21428,98.02,94.66
21429,98.06,93.54
21431,97.64,95.38
21432,97.81,95.51
21433,97.69,95.03
21434,96.48,91.7
21435,95.37,89.7
21436,97.11,92.14
21437,97.01,93.71
21438,97.48,93.37
21439,97,93.83
21440,97.89,93.19
21441,97.78,94.34
21442,98.28,94.59
21443,96.54,92.45
21444,98.1,94.75
21445,97.51,93.75
21446,97.93,94.61
21447,98.74,96.14
21448,97.5,94.18
21449,97.36,93.99
21450,97.76,93.93
21451,97.6,93.76
21452,97.46,93.33
21453,96.8,92.46
21454,97.12,94
21455,97.22,94.67
21456,97.68,95.23
21457,96.99,94.63
21458,95.71,91.86
21459,97.39,93.15
21466,96.8,93.68
21467,98.27,95.24
21468,98.6,95.7
21469,96.93,93.99
21470,97.53,94.37
21471,95.41,91.47
21472,95.89,92.93
21473,97.85,94.8
21474,97.24,94.08
21475,98.23,94.66
21476,97.95,94.61
21477,98.54,94.82
21478,96.87,93.19
21479,98.61,95.5
21480,98.38,95.08
21481,97.82,94.48
21482,98.42,95.42
21483,98.19,94.15
21484,97.13,92.43
21485,97.23,93.07
21486,98.25,94.63
21487,97.7,93.38
21488,98.28,95.53
21489,97.81,94.79
21490,96.63,92.88
21491,97.61,94.08
21492,97.66,94.38
21493,97.74,93.75
21494,97.19,93.36
21495,97.65,94.57
21496,97.62,93.13
21497,96.5,92.42
21498,96.99,93.1
21499,97.43,94.09
21500,96.44,92.11
21501,96.73,91.82
21502,98.52,94.82
21503,97.5,93.26
21504,98.04,94.32
21505,97.63,93.87
21506,97.17,93.63
21507,96.75,93.38
21508,95.54,91.03
21509,95.49,91.98
21510,97.5,93.91
21511,96.52,93.15
21512,90.68,85.08
21533,98.37,95.16
21534,98.4,94.49
21540,98.71,96.34
21541,98.84,95.48
21542,98.69,95.16
21543,98.69,95.47
21545,97.74,94.05
21546,98.29,94.25
21547,98.49,94.78
21548,96.88,93.52
21549,96.6,92.32
21550,98,94.16
21551,98.17,93.95
21552,98.7,94.84
21553,97.85,93.75
21554,98.1,95.01
21555,98.11,94.22
21556,98.49,94.61
21557,98.36,94.64
21558,98.33,94.59
21559,97.92,94.43
21560,97.48,93.99
21561,98.17,94.13
21562,98.12,94.73
21563,98.44,94.86
21564,98.08,94.78
21565,97.88,93.63
21566,98.09,94.37
21586,97.63,93.67
21587,97.92,95.66
21588,98.2,96.36
21589,98.43,96.35
21590,98.01,95.76
21591,98.3,96.31
21592,97.22,95.17
21593,97.83,95.49
21594,97.16,94.07
21595,98.52,96.14
21596,97.57,94.27
21597,97.99,95.1
21598,97.7,94.72
21599,97.33,93.88
21600,97.6,94.72
21603,98.44,95.6
21604,98.72,94.38
21605,97.83,94
21606,98.28,94.66
21607,98.44,94.61
21608,97.51,93.97
21609,97.86,94.29
21610,98.4,94.77
21611,97.63,94.22
21616,96.48,92.9
21617,97.49,93.94
21618,95.41,92.45
21619,97.23,94.91
21620,98.45,95.65
21621,97.62,94.1
21622,97.63,94.48
21623,98.18,95.37
21624,98.35,95.95
21625,97.59,94.93
21626,98.07,96.5
21627,98.13,95.78
21628,97.5,95.37
21629,96.28,93.09
21630,98.59,96.17
21631,98.37,95.99
21632,96.94,94.17
21633,98.33,95.35
21634,97.58,95.12
21638,97.49,95.09
21639,96.91,94.62
21641,96.65,94.05
21642,96.48,92.6
21643,96.12,91.9
21644,97.29,93.77
21645,98.2,94.02
21647,95.13,90.27
21648,95.61,91.81
21649,94.76,91.34
21650,94.88,91.24
21651,96.04,91.9
21652,97.25,92.99
21653,97.07,92.36
21654,97.67,94.3
21655,98.21,94.51
21656,97.07,93.83
21657,97.59,93.99
21658,96.92,92.8
21659,97.06,93.33
21660,96.9,92.79
21661,95.45,91.38
21662,97.54,94.06
21663,97.13,92.85
21664,98.55,94.69
21665,98.07,94.15
21666,97.98,94.57
21668,97.99,93.88
21669,96.12,92.54
21670,97.27,93.34
21671,97.4,93.53
21672,98.08,94.4
21673,98.24,94.73
21674,96.33,92.32
21675,97.08,92.81
21676,97.12,93.88
21677,97.68,93.26
21678,97.95,94.44
21679,98.33,94.86
21680,96.88,93.74
21681,97.59,93.22
21682,97.77,94.01
21683,97.06,93.23
21684,97.36,93.63
21685,97.06,93.05
21686,98.37,94.97
21687,98.45,94.88
21688,97.65,94.38
21689,97.81,93.75
21690,97.14,93.2
21691,97.11,94.17
21692,97.98,95.56
21693,97.36,94.25
21694,94.44,88.55
21695,97.53,94.62
21696,96.67,93.55
21697,98.59,95.53
21698,96.53,93.63
21699,99.12,96.16
21700,93.15,89.27
21701,96.42,92.72
21702,98.69,94.75
21703,96.61,93.11
21704,98.57,95.38
21705,95.86,91.96
21706,98.01,94.06
21707,96.08,91.76
21708,98.26,95.13
21709,98.14,94.06
21710,95.11,92.58
21732,97.58,93.48
21733,96.8,93.14
21734,98.62,94.71
21735,97.16,93.33
21736,97.44,94.42
21738,97.65,93.91
21739,97.45,93.97
21740,97.34,93.37
21741,97.64,93.99
21742,98.14,94.5
21743,97.95,94.17
21744,97.73,94.06
21745,97.51,93.11
21746,96.64,91.53
21747,97.44,93.67
21748,97.92,93.34
21749,97.81,94.37
21750,98.55,94.77
21751,98.24,94.37
21752,97.7,93.68
21753,97.97,94.03
21754,98.54,94.64
21755,98.04,94.67
21756,98.35,94.43
21757,97.89,94.6
21758,98.75,94.99
21759,98.69,95.23
21760,82.94,83.6
21761,82.74,83.5
21764,98.01,94.7
21765,98.43,95.98
21766,95.15,89.13
21767,95.24,88.84
21768,99.02,96.71
21803,98.26,94.48
21806,98.43,95
21807,98.13,94.87
21808,98.17,94.75
21809,94.65,90.45
21810,96.32,91.96
21811,97.67,93.77
21812,97.86,94.74
21813,97.19,93.38
21814,98.03,95.09
21815,97.53,94.73
21816,97.89,93.8
21817,97.76,94.71
21818,98.18,90.38
21819,98.05,94.96
21820,98.25,93.79
21821,97.9,94.94
21822,98.35,96.34
21824,97.09,92.73
21830,98.72,94.64
21831,98.23,94.36
21832,97.03,93.45
21833,98,94.62
21834,97.32,93.2
21835,96.92,93.1
21836,97.38,93.22
21837,98.05,94.09
21838,96.81,93.15
21839,98.15,94.65
21840,98.28,94.22
21841,96.82,92.5
21842,96.96,93.21
21843,98.47,94.67
21844,98.6,94.66
21845,98.75,95.62
21846,98.21,93.88
21847,97.73,93.86
21848,97.85,94.68
21849,98.38,94.16
21850,97.76,93.84
21851,98.13,95.17
21852,97.28,93.69
21853,98.53,95.1
21854,98.04,94.18
21855,97.11,93.67
21856,97.27,94.45
21857,97.83,94.98
21859,97.67,94.43
21860,97.97,94.68
21861,97.33,94.22
21862,98.42,95.34
21863,98.61,94.95
21864,98.4,95.21
21865,97.46,93.85
21866,98.14,95.35
21867,98.37,95.38
21868,98.5,95.64
21869,97.98,95.14
21870,98.1,95.34
21871,96.47,93.31
21872,97.18,94.23
21873,96.56,93.06
21874,96.83,91.79
21875,92.67,86.01
21876,96.45,93.15
21877,96.57,91.93
21878,97.78,94
21879,95.86,92.99
21880,96.72,93.49
21881,95.9,93.09
21882,98.3,95.54
21883,96.3,93.52
21884,98.4,95.95
21885,97.4,95.05
21886,98.08,95.66
21887,97.94,94.78
21888,98.41,81.42
21889,97.27,94.17
21890,96.85,95.07
21891,98.11,95.81
21892,98.22,95.79
21893,98.35,95.56
21894,97.85,95.36
21895,97.64,94.32
21896,97.61,94.73
21897,97.25,93.5
21898,93.98,88.04
21899,97.77,93.57
21900,97.72,93.58
21901,97.77,93.86
21902,97.6,93.83
21903,98.13,94.49
21904,97.8,93.12
21905,97.64,94.48
21906,98.05,94.32
21907,97.96,94.88
21908,98.15,94.51
21909,97.24,93.81
21910,98.41,94.85
21911,98,94.91
21912,97.58,93.88
21913,98.13,94.61
21914,97.81,94.48
21915,97.33,94.15
21916,97.65,93.92
21917,97.74,94.4
21918,98.28,94.73
21919,98.29,94.48
21920,97.95,94.96
21921,98.57,95.2
21922,97.39,94.26
21923,98.06,95.08
21924,97.7,94.75
21925,98.16,95.32
21926,97.16,94.19
21927,97.62,93.12
21928,98.34,96.08
21929,97.37,92.91
21930,98.04,93.36
21931,98.29,94.85
21932,98.04,94.32
21933,97.97,95.21
21935,98.08,94.4
21936,98,94.68
21937,97.65,95.06
21938,97.84,95.38
21939,98.33,96.46
21940,97.82,95.53
21941,98.25,92.01
21946,96.01,94.07
21947,96.36,92.32
21948,95.03,91.27
21949,98.29,94.62
21950,97.8,94.41
21951,97.94,95.07
21952,98.11,94.92
21953,96.95,93.83
21954,97.97,95.02
21955,95.54,92
21956,96.52,93.11
21957,98.16,95.5
21958,97.75,94.68
21959,94.4,91.39
21960,96.95,94.17
21961,96.88,92.87
21962,95.47,92.33
21963,95.44,91.62
21964,97.17,93.6
21965,97.63,94.45
21966,97.22,93.33
21967,96.04,92.6
21968,97.79,94.25
21969,97.42,94.48
21970,97.5,94.11
21971,96.15,92.87
21972,97.88,95.65
21973,98.09,95.21
21974,94.87,91.54
21975,97.73,94.65
21976,98.79,95.4
21977,98.24,95.62
21978,96.39,93.3
21979,98.31,94.55
21980,97.43,95.44
21981,97.59,95.24
21982,97.53,94.03
21983,97.74,94.53
21984,95.94,92.5
21985,96.09,92.82
21986,95.23,92.01
21987,95.85,92.28
21989,95.46,91.31
21990,92.52,87.95
21991,97.19,92.14
21992,95.1,91.47
21993,97.57,93.02
21995,97.91,94.47
21996,93.81,88.12
21997,93.76,87.45
21998,98.03,93.81
21999,96.8,92.71
22000,97.85,93.84
22021,97.95,96.08
22022,97.36,94.94
22023,98.43,95.48
22024,98.02,96.25
22025,97.99,94.92
22026,98,94.53
22027,98.36,95.97
22028,96.61,90.46
22029,98.61,95.36
22030,97.92,94.47
22031,98.06,95.42
22032,97.77,94.77
22033,98.22,95.31
22034,97.98,95.4
22035,98.47,95.89
22036,98.09,95.12
22037,98.45,95.25
22038,98.44,95.43
22039,98.3,95.71
22040,98.08,95.2
22041,98.59,95.24
22042,97.22,93.16
22043,98.36,95.44
22044,98.47,95.68
22045,98.41,95.69
22046,98.05,94.98
22047,98.51,96.23
22048,98.49,95.83
22049,98.35,96.07
22050,98.31,95.11
22051,98.14,95.07
22052,98.02,95.79
22053,97.71,95.35
22054,98.53,96.07
