component_id,Content
match_ratio_SB_20760.txt,Matched A sources / Total A sources: 2868 / 3174 = 90.36%
match_ratio_SB_20628.txt,Matched A sources / Total A sources: 2898 / 3194 = 90.73%
match_ratio_SB_22648.txt,Matched A sources / Total A sources: 1615 / 2882 = 56.04%
match_ratio_SB_21592.txt,Matched A sources / Total A sources: 3302 / 3673 = 89.90%
match_ratio_SB_20342.txt,Matched A sources / Total A sources: 3119 / 3417 = 91.28%
match_ratio_SB_21946.txt,Matched A sources / Total A sources: 3154 / 3484 = 90.53%
match_ratio_SB_21893.txt,Matched A sources / Total A sources: 3273 / 3648 = 89.72%
match_ratio_SB_20715.txt,Matched A sources / Total A sources: 2977 / 3293 = 90.40%
match_ratio_SB_21473.txt,Matched A sources / Total A sources: 2820 / 3214 = 87.74%
match_ratio_SB_21835.txt,Matched A sources / Total A sources: 3093 / 3508 = 88.17%
match_ratio_SB_22037.txt,Matched A sources / Total A sources: 3103 / 3494 = 88.81%
match_ratio_SB_21065.txt,Matched A sources / Total A sources: 2713 / 3152 = 86.07%
match_ratio_SB_21837.txt,Matched A sources / Total A sources: 3179 / 3652 = 87.05%
match_ratio_SB_20846.txt,Matched A sources / Total A sources: 3116 / 3397 = 91.73%
match_ratio_SB_22459.txt,Matched A sources / Total A sources: 3213 / 3601 = 89.23%
match_ratio_SB_22609.txt,Matched A sources / Total A sources: 2071 / 2330 = 88.88%
match_ratio_SB_21972.txt,Matched A sources / Total A sources: 3109 / 3498 = 88.88%
match_ratio_SB_21500.txt,Matched A sources / Total A sources: 3192 / 3712 = 85.99%
match_ratio_SB_20532.txt,Matched A sources / Total A sources: 2773 / 3019 = 91.85%
match_ratio_SB_29339.txt,Matched A sources / Total A sources: 2772 / 3203 = 86.54%
match_ratio_SB_21432.txt,Matched A sources / Total A sources: 3231 / 3566 = 90.61%
match_ratio_SB_21621.txt,Matched A sources / Total A sources: 2932 / 3240 = 90.49%
match_ratio_SB_25704.txt,Matched A sources / Total A sources: 1090 / 2798 = 38.96%
match_ratio_SB_21623.txt,Matched A sources / Total A sources: 2881 / 3183 = 90.51%
match_ratio_SB_20613.txt,Matched A sources / Total A sources: 2219 / 2477 = 89.58%
match_ratio_SB_22485.txt,Matched A sources / Total A sources: 2672 / 3072 = 86.98%
match_ratio_SB_21447.txt,Matched A sources / Total A sources: 2879 / 3248 = 88.64%
match_ratio_SB_20298.txt,Matched A sources / Total A sources: 2720 / 3210 = 84.74%
match_ratio_SB_21397.txt,Matched A sources / Total A sources: 3022 / 3333 = 90.67%
match_ratio_SB_21067.txt,Matched A sources / Total A sources: 2847 / 3280 = 86.80%
match_ratio_SB_21840.txt,Matched A sources / Total A sources: 3051 / 3504 = 87.07%
match_ratio_SB_20785.txt,Matched A sources / Total A sources: 3013 / 3318 = 90.81%
match_ratio_SB_20650.txt,Matched A sources / Total A sources: 2330 / 3068 = 75.95%
match_ratio_SB_20652.txt,Matched A sources / Total A sources: 2206 / 3001 = 73.51%
match_ratio_SB_20596.txt,Matched A sources / Total A sources: 2916 / 3264 = 89.34%
match_ratio_SB_20165.txt,Matched A sources / Total A sources: 1501 / 2922 = 51.37%
match_ratio_SB_21496.txt,Matched A sources / Total A sources: 3243 / 3702 = 87.60%
match_ratio_SB_29341.txt,Matched A sources / Total A sources: 2763 / 3211 = 86.05%
match_ratio_SB_20808.txt,Matched A sources / Total A sources: 2867 / 3167 = 90.53%
match_ratio_SB_20666.txt,Matched A sources / Total A sources: 2929 / 3197 = 91.62%
match_ratio_SB_21617.txt,Matched A sources / Total A sources: 2994 / 3306 = 90.56%
match_ratio_SB_22355.txt,Matched A sources / Total A sources: 2983 / 3380 = 88.25%
match_ratio_SB_33102.txt,Matched A sources / Total A sources: 2964 / 3507 = 84.52%
match_ratio_SB_20509.txt,Matched A sources / Total A sources: 3086 / 3421 = 90.21%
match_ratio_SB_20400.txt,Matched A sources / Total A sources: 3211 / 3575 = 89.82%
match_ratio_SB_21766.txt,Matched A sources / Total A sources: 2517 / 2844 = 88.50%
match_ratio_SB_20611.txt,Matched A sources / Total A sources: 2150 / 2845 = 75.57%
match_ratio_SB_20901.txt,Matched A sources / Total A sources: 3198 / 3654 = 87.52%
match_ratio_SB_29572.txt,Matched A sources / Total A sources: 2783 / 3102 = 89.72%
match_ratio_SB_20833.txt,Matched A sources / Total A sources: 3011 / 3403 = 88.48%
match_ratio_SB_20374.txt,Matched A sources / Total A sources: 2836 / 3128 = 90.66%
match_ratio_SB_20762.txt,Matched A sources / Total A sources: 2929 / 3223 = 90.88%
match_ratio_SB_20376.txt,Matched A sources / Total A sources: 2875 / 3151 = 91.24%
match_ratio_SB_20151.txt,Matched A sources / Total A sources: 1630 / 3023 = 53.92%
match_ratio_SB_20340.txt,Matched A sources / Total A sources: 2939 / 3154 = 93.18%
match_ratio_SB_21949.txt,Matched A sources / Total A sources: 3119 / 3581 = 87.10%
match_ratio_SB_22322.txt,Matched A sources / Total A sources: 3415 / 3810 = 89.63%
match_ratio_SB_21543.txt,Matched A sources / Total A sources: 2344 / 2741 = 85.52%
match_ratio_SB_20844.txt,Matched A sources / Total A sources: 3026 / 3305 = 91.56%
match_ratio_SB_22525.txt,Matched A sources / Total A sources: 3224 / 3619 = 89.09%
match_ratio_SB_20787.txt,Matched A sources / Total A sources: 3089 / 3406 = 90.69%
match_ratio_SB_20723.txt,Matched A sources / Total A sources: 2954 / 3272 = 90.28%
match_ratio_SB_20664.txt,Matched A sources / Total A sources: 2929 / 3231 = 90.65%
match_ratio_SB_21687.txt,Matched A sources / Total A sources: 2795 / 3219 = 86.83%
match_ratio_SB_22882.txt,Matched A sources / Total A sources: 1171 / 2851 = 41.07%
match_ratio_SB_21874.txt,Matched A sources / Total A sources: 2673 / 3104 = 86.11%
match_ratio_SB_20272.txt,Matched A sources / Total A sources: 2885 / 3240 = 89.04%
match_ratio_SB_20681.txt,Matched A sources / Total A sources: 2666 / 2907 = 91.71%
match_ratio_SB_20683.txt,Matched A sources / Total A sources: 2666 / 2981 = 89.43%
match_ratio_SB_21448.txt,Matched A sources / Total A sources: 2740 / 3116 = 87.93%
match_ratio_SB_20903.txt,Matched A sources / Total A sources: 2931 / 3333 = 87.94%
match_ratio_SB_20288.txt,Matched A sources / Total A sources: 2834 / 3149 = 90.00%
match_ratio_SB_21199.txt,Matched A sources / Total A sources: 3162 / 3503 = 90.27%
match_ratio_SB_20465.txt,Matched A sources / Total A sources: 2922 / 3288 = 88.87%
match_ratio_SB_20426.txt,Matched A sources / Total A sources: 3234 / 3629 = 89.12%
match_ratio_SB_21458.txt,Matched A sources / Total A sources: 2972 / 3339 = 89.01%
match_ratio_SB_20429.txt,Matched A sources / Total A sources: 3184 / 3611 = 88.18%
match_ratio_SB_21649.txt,Matched A sources / Total A sources: 2658 / 3175 = 83.72%
match_ratio_SB_21078.txt,Matched A sources / Total A sources: 2722 / 3086 = 88.20%
match_ratio_SB_25479.txt,Matched A sources / Total A sources: 820 / 2990 = 27.42%
match_ratio_SB_20603.txt,Matched A sources / Total A sources: 2994 / 3264 = 91.73%
match_ratio_SB_22064.txt,Matched A sources / Total A sources: 2880 / 3240 = 88.89%
match_ratio_SB_40933.txt,Matched A sources / Total A sources: 2497 / 2807 = 88.96%
match_ratio_SB_20313.txt,Matched A sources / Total A sources: 2817 / 3117 = 90.38%
match_ratio_SB_20821.txt,Matched A sources / Total A sources: 2954 / 3245 = 91.03%
match_ratio_SB_20514.txt,Matched A sources / Total A sources: 3151 / 3462 = 91.02%
match_ratio_SB_40997.txt,Matched A sources / Total A sources: 3414 / 3739 = 91.31%
match_ratio_SB_20327.txt,Matched A sources / Total A sources: 2992 / 3477 = 86.05%
match_ratio_SB_25493.txt,Matched A sources / Total A sources: 670 / 2755 = 24.32%
match_ratio_SB_21145.txt,Matched A sources / Total A sources: 2720 / 3080 = 88.31%
match_ratio_SB_21041.txt,Matched A sources / Total A sources: 2774 / 3175 = 87.37%
match_ratio_SB_20911.txt,Matched A sources / Total A sources: 2863 / 3261 = 87.80%
match_ratio_SB_21455.txt,Matched A sources / Total A sources: 3172 / 3629 = 87.41%
match_ratio_SB_20383.txt,Matched A sources / Total A sources: 3002 / 3300 = 90.97%
match_ratio_SB_20259.txt,Matched A sources / Total A sources: 2448 / 3251 = 75.30%
match_ratio_SB_20637.txt,Matched A sources / Total A sources: 2805 / 3176 = 88.32%
match_ratio_SB_21742.txt,Matched A sources / Total A sources: 3056 / 3448 = 88.63%
match_ratio_SB_21551.txt,Matched A sources / Total A sources: 2884 / 3344 = 86.24%
match_ratio_SB_20586.txt,Matched A sources / Total A sources: 3188 / 3621 = 88.04%
match_ratio_SB_21420.txt,Matched A sources / Total A sources: 2856 / 3229 = 88.45%
match_ratio_SB_21915.txt,Matched A sources / Total A sources: 3250 / 3707 = 87.67%
match_ratio_SB_25474.txt,Matched A sources / Total A sources: 617 / 2750 = 22.44%
match_ratio_SB_22345.txt,Matched A sources / Total A sources: 3058 / 3454 = 88.54%
match_ratio_SB_22115.txt,Matched A sources / Total A sources: 3130 / 3462 = 90.41%
match_ratio_SB_24028.txt,Matched A sources / Total A sources: 2744 / 3104 = 88.40%
match_ratio_SB_23871.txt,Matched A sources / Total A sources: 2931 / 3350 = 87.49%
match_ratio_SB_20674.txt,Matched A sources / Total A sources: 3212 / 3536 = 90.84%
match_ratio_SB_21695.txt,Matched A sources / Total A sources: 2668 / 2911 = 91.65%
match_ratio_SB_20952.txt,Matched A sources / Total A sources: 3383 / 3805 = 88.91%
match_ratio_SB_20410.txt,Matched A sources / Total A sources: 3104 / 3540 = 87.68%
match_ratio_SB_20287.txt,Matched A sources / Total A sources: 2340 / 3038 = 77.02%
match_ratio_SB_20913.txt,Matched A sources / Total A sources: 3249 / 3617 = 89.83%
